Number,CityTownofLastResidence,DestinationCityTown,Province,ShipName,Port,Arrival,lat,lng
532,CACCAMO,NEW-ORLEANS,Palermo,TARTAR PRINCE,GENOA,10/1/1900,29.9510658,-90.0715323
533,CACCAMO,NEW YORK,Palermo,VICTORIA,NAPLES,5/16/1900,40.7127753,-74.0059728
534,CACCAMO,BUFFALO NY,Palermo,VICTORIA,NAPLES,5/16/1900,42.8864468,-78.8783689
535,CACCAMO,NEW-ORLEANS,Palermo,TARTAR PRINCE,GENOA,10/1/1900,29.9510658,-90.0715323
536,CACCAMO,NEW YORK,Palermo,VICTORIA,NAPLES,5/16/1900,40.7127753,-74.0059728
537,CIMINNA,NEW YORK,Palermo,BRITANNIA,NAPLES,07/27/1898,40.7127753,-74.0059728
538,SCIACCA,NEW YORK,Agrigento,ELYSIA,NAPLES,07/06/1897,40.7127753,-74.0059728
539,MENFI,BROOKLYN,Agrigento,TROJAN PRINCE,UNKNOWN,11/06/1898,40.6781784,-73.9441579
540,SCIACCA,NEW YORK,Agrigento,ALSATIA,NAPLES,09/30/1897,40.7127753,-74.0059728
541,MESSINA,NEW YORK,Messina,RUGIA,NAPLES,03/26/1894,40.7127753,-74.0059728
542,MONTEVAGO,BROOKLYN,Agrigento,TARTAR PRINCE,GENOA,04/03/1898,40.6781784,-73.9441579
543,MONTEVAGO,BROOKLYN,Agrigento,TARTAR PRINCE,GENOA,04/03/1898,40.6781784,-73.9441579
544,MONTEVAGO,BROOKLYN,Agrigento,TARTAR PRINCE,GENOA,5/28/1900,40.6781784,-73.9441579
