,origin_city,origin_country
115,VITA,ITALY
116,SANTA CROCE CAMERINA,ITALY
117,FICARRA,ITALY
118,GROTTE,ITALY
119,CAPO D'ORLANDO,ITALY
120,NOVARA DI SICILIA,ITALY
121,MUSSOMELI,ITALY
122,ITALA,ITALY
123,NASO,ITALY
124,TERMINI IMERESE,ITALY
125,LEONFORTE,ITALY
126,MISTRETTA,ITALY
127,ROCCELLA VALDEMONE,ITALY
128,LIBRIZZI,ITALY
129,CAMMARATA,ITALY
130,REALMONTE,ITALY
131,SAN GIUSEPPE JATO,ITALY
132,POZZALLO,ITALY
133,MILO,ITALY
134,PAGLIARA,ITALY
135,CONTESSA ENTELLINA,ITALY
136,BORGETTO,ITALY
137,LIMINA,ITALY
138,POLLINA,ITALY
139,RESUTTANO,ITALY
140,VALDINA,ITALY
141,BROLO,ITALY
142,SAMBUCA DI SICILIA,ITALY
143,SAN FRATELLO,ITALY
144,CASTELTERMINI,ITALY
145,MINEO,ITALY
146,CARINI,ITALY
147,RACALMUTO,ITALY
148,NICOLOSI,ITALY
149,RAGUSA,ITALY
150,GIARRE,ITALY
151,MALETTO,ITALY
152,CASTROREALE,ITALY
153,CHIUSA SCLAFANI,ITALY
154,CALAMONACI,ITALY
155,REGALBUTO,ITALY
156,BALESTRATE,ITALY
157,GRANITI,ITALY
158,SANTA CRISTINA GELA,ITALY
159,MALFA,ITALY
160,MONTAGNAREALE,ITALY
161,PALAGONIA,ITALY
162,VILLABATE,ITALY
163,RIESI,ITALY
164,FALCONE,ITALY
165,MONTELEPRE,ITALY
166,PIRAINO,ITALY
167,RAMACCA,ITALY
168,ROCCAFIORITA,ITALY
169,ENNA,ITALY
170,NARO,ITALY
171,LONGI,ITALY
172,LUCCA SICULA,ITALY
173,CASTROFILIPPO,ITALY
174,TORRETTA,ITALY
175,GIOIOSA MAREA,ITALY
176,MANDANICI,ITALY
177,PIAZZA ARMERINA,ITALY
178,AGRIGENTO,ITALY
179,ADRANO,ITALY
180,FICARAZZI,ITALY
181,NISSORIA,ITALY
182,COMITINI,ITALY
183,UCRIA,ITALY
184,VALVERDE,ITALY
185,SAN VITO LO CAPO,ITALY
186,SCLAFANI BAGNI,ITALY
187,CAPIZZI,ITALY
188,SANT'ALFIO,ITALY
189,MAZZARINO,ITALY
190,GAGGI,ITALY
191,PACHINO,ITALY
192,BUSETO PALIZZOLO,ITALY
193,GIARDINELLO,ITALY
194,SOLARINO,ITALY
195,CAPACI,ITALY
196,ROCCALUMERA,ITALY
197,NOTO,ITALY
198,GALLODORO,ITALY
199,ACIREALE,ITALY
200,SICULIANA,ITALY
201,CASSARO,ITALY
202,ALTAVILLA MILICIA,ITALY
203,AVOLA,ITALY
204,SAN CATALDO,ITALY
205,PALMA DI MONTECHIARO,ITALY
206,MONFORTE SAN GIORGIO,ITALY
207,ANTILLO,ITALY
208,SAN PIERO PATTI,ITALY
209,CENTURIPE,ITALY
210,SAN FILIPPO DEL MELA,ITALY
211,COMISO,ITALY
212,ISOLA DELLE FEMMINE,ITALY
213,CARLENTINI,ITALY
214,MONTALLEGRO,ITALY
215,TORREGROTTA,ITALY
216,GELA,ITALY
217,SANTA LUCIA DEL MELA,ITALY
218,MASCALI,ITALY
219,MODICA,ITALY
220,SAN MARCO D'ALUNZIO,ITALY
221,CALTAGIRONE,ITALY
222,PETTINEO,ITALY
