,DestRaw,Dest,geocoder_results,bbox,latlong
104,LEROY,LEROY,"<[OK] Google - Geocode [1326 S Main St, Le Roy, KS 66857, USA]>","{'northeast': [38.0913323802915, -95.63193851970851], 'southwest': [38.08863441970851, -95.63463648029152]}","[38.0899834, -95.63328750000001]"
105,BALTIMORE MD,"BALTIMORE, MD","<[OK] Google - Geocode [Baltimore, MD, USA]>","{'northeast': [39.3722059, -76.5294528], 'southwest': [39.1972069, -76.7115407]}","[39.2903848, -76.6121893]"
106,CHARLESTON,"CHARLESTON, SC","<[OK] Google - Geocode [Charleston, SC, USA]>","{'northeast': [32.973586, -79.7971659], 'southwest': [32.6685048, -80.14379]}","[32.7764749, -79.93105120000001]"
107,PLYMONTH MA,"PLYMONTH, MA","<[OK] Google - Geocode [Plymouth, MA, USA]>","{'northeast': [42.01367700000001, -70.516363], 'southwest': [41.7628209, -70.753351]}","[41.9584457, -70.6672621]"
108,NW YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
109,NORRISTOWN PA,"NORRISTOWN, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","{'northeast': [40.1413069, -75.3163249], 'southwest': [40.1052509, -75.3648281]}","[40.121497, -75.3399048]"
110,LONDON,LONDON,"<[OK] Google - Geocode [London, UK]>","{'northeast': [51.6723432, 0.148271], 'southwest': [51.38494009999999, -0.3514683]}","[51.5073509, -0.1277583]"
111,ATLANTIC CITY NJ,"ATLANTIC CITY, NJ","<[OK] Google - Geocode [Atlantic City, NJ, USA]>","{'northeast': [39.4176778, -74.404054], 'southwest': [39.335544, -74.501592]}","[39.3642834, -74.4229266]"
112,SIRACUSA,SIRACUSA,"<[OK] Google - Geocode [96100 Syracuse, Province of Syracuse, Italy]>","{'northeast': [37.1056629, 15.3012622], 'southwest': [37.0526348, 15.2405306]}","[37.0754739, 15.2865861]"
113,ALBANY-NY,"ALBANY, NY","<[OK] Google - Geocode [Albany, NY, USA]>","{'northeast': [42.7223788, -73.723263], 'southwest': [42.61379, -73.898099]}","[42.6525793, -73.7562317]"
114,JOHNSTOWN,JOHNSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","{'northeast': [40.36421199999999, -78.8820461], 'southwest': [40.2896741, -78.955348]}","[40.32674069999999, -78.9219698]"
115,TACOMA WA,"TACOMA, WA","<[OK] Google - Geocode [Tacoma, WA, USA]>","{'northeast': [47.331984, -122.3482139], 'southwest': [47.166528, -122.565437]}","[47.2528768, -122.4442906]"
116,NEW BRITAIN CT,"NEW BRITAIN, CT","<[OK] Google - Geocode [New Britain, CT, USA]>","{'northeast': [41.7158, -72.75023999999999], 'southwest': [41.645098, -72.824043]}","[41.6612104, -72.7795419]"
117,PATTERSON,PATTERSON,"<[OK] Google - Geocode [1913 W Tacoma St, Broken Arrow, OK 74012, USA]>","{'northeast': [36.0719678802915, -95.8118521197085], 'southwest': [36.0692699197085, -95.81455008029151]}","[36.0706189, -95.8132011]"
118,OH,OH,"<[OK] Google - Geocode [Ohio, USA]>","{'northeast': [42.327132, -80.5182], 'southwest': [38.4034229, -84.8203049]}","[40.4172871, -82.90712300000001]"
119,CORNIGAN,CORNIGAN,<[ZERO_RESULTS] Google - Geocode [empty]>,,
