,DestRaw,Dest,geocoder_results,bbox,latlong
311,MCKEESPORT,MCKEESPORT,"<[OK] Google - Geocode [McKeesport, PA, USA]>","{'northeast': [40.36418099999999, -79.81596809999999], 'southwest': [40.3179689, -79.885871]}","[40.3470671, -79.8641232]"
312,ST JOSE-CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","{'northeast': [37.4692304, -121.589154], 'southwest': [37.124493, -122.0456719]}","[37.3382082, -121.8863286]"
313,ST.JOSE-CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","{'northeast': [37.4692304, -121.589154], 'southwest': [37.124493, -122.0456719]}","[37.3382082, -121.8863286]"
314,NY,NY,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
315,WAYNESBURG,WAYNESBURG,"<[OK] Google - Geocode [Waynesburg, PA 15370, USA]>","{'northeast': [39.90534299999999, -80.173609], 'southwest': [39.8910969, -80.196316]}","[39.8964641, -80.1792299]"
316,CALDWEL NY,"CALDWEL, NY","<[OK] Google - Geocode [Caldwell, NJ 07006, USA]>","{'northeast': [40.847923, -74.263185], 'southwest': [40.829529, -74.2935349]}","[40.8398218, -74.2765366]"
317,GENOA,GENOA,"<[OK] Google - Geocode [Genoa, Metropolitan City of Genoa, Italy]>","{'northeast': [44.514882, 9.065572999999999], 'southwest': [44.3790734, 8.7160912]}","[44.4056499, 8.946256]"
318,COSSATO,COSSATO,"<[OK] Google - Geocode [13836 Cossato, Province of Biella, Italy]>","{'northeast': [45.5972373, 8.2069228], 'southwest': [45.5430948, 8.166869799999999]}","[45.5668371, 8.175544]"
319,HAZELTON PA,"HAZELTON, PA","<[OK] Google - Geocode [Hazleton, PA, USA]>","{'northeast': [40.9749319, -75.9459451], 'southwest': [40.9276849, -75.99634800000001]}","[40.9584181, -75.97464719999999]"
320,ONDEMICO,ONDEMICO,<[ZERO_RESULTS] Google - Geocode [empty]>,,
321,UTTICA,UTTICA,"<[OK] Google - Geocode [Utica, NY, USA]>","{'northeast': [43.132269, -75.1609059], 'southwest': [43.0644689, -75.295296]}","[43.100903, -75.232664]"
322,ALLEGHENY,ALLEGHENY,"<[OK] Google - Geocode [Allegheny County, PA, USA]>","{'northeast': [40.67453, -79.688761], 'southwest': [40.1943428, -80.36087289999999]}","[40.4450813, -80.0087746]"
323,TAMPA-FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","{'northeast': [28.1714781, -82.2597409], 'southwest': [27.817487, -82.64882]}","[27.950575, -82.4571776]"
324,NEW HAVEN,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","{'northeast': [41.35038, -72.8601438], 'southwest': [41.2461968, -72.998048]}","[41.308274, -72.9278835]"
325,MORRISTOWN,MORRISTOWN,"<[OK] Google - Geocode [Morristown, NJ 07960, USA]>","{'northeast': [40.81836089999999, -74.456181], 'southwest': [40.7802309, -74.50144399999999]}","[40.79676670000001, -74.4815438]"
326,BROOKLN N,BROOKLN N,"<[OK] Google - Geocode [Brooklyn, NY, USA]>","{'northeast': [40.739446, -73.8333651], 'southwest': [40.551042, -74.05663]}","[40.6781784, -73.9441579]"
327,RALSTON NE,"RALSTON, NE","<[OK] Google - Geocode [Ralston, NE 68127, USA]>","{'northeast': [41.21252, -96.0236849], 'southwest': [41.1906419, -96.0524279]}","[41.2002566, -96.031987]"
328,SAGUANO,SAGUANO,"<[OK] Google - Geocode [1800 E Palm Canyon Dr, Palm Springs, CA 92264, USA]>","{'northeast': [33.8032289802915, -116.5262220197085], 'southwest': [33.8005310197085, -116.5289199802915]}","[33.80188, -116.527571]"
329,CLEVELAND OH,"CLEVELAND, OH","<[OK] Google - Geocode [Cleveland, OH, USA]>","{'northeast': [41.604436, -81.5327439], 'southwest': [41.390628, -81.878976]}","[41.49932, -81.6943605]"
330,"BUFFALO, NY","BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","{'northeast': [42.9664549, -78.795157], 'southwest': [42.826023, -78.9337276]}","[42.88644679999999, -78.8783689]"
331,NORFOLK VA.,"NORFOLK, VA","<[OK] Google - Geocode [Norfolk, VA, USA]>","{'northeast': [37.040886, -76.133872], 'southwest': [36.820757, -76.3455689]}","[36.8507689, -76.28587259999999]"
332,HESTER-PA,"HESTER, PA","<[OK] Google - Geocode [Chester County, PA, USA]>","{'northeast': [40.2451251, -75.361013], 'southwest': [39.7211468, -76.13667199999999]}","[40.0010204, -75.8069082]"
333,GALVESTON TX,"GALVESTON, TX","<[OK] Google - Geocode [Galveston, TX, USA]>","{'northeast': [29.3993991, -94.623898], 'southwest': [29.067156, -95.12272980000002]}","[29.3013479, -94.7976958]"
334,LUZERNE PA,"LUZERNE, PA","<[OK] Google - Geocode [Luzerne, PA, USA]>","{'northeast': [41.30008, -75.8846399], 'southwest': [41.2754809, -75.90594109999999]}","[41.2856365, -75.9010304]"
335,SOLDIER PA,"SOLDIER, PA","<[OK] Google - Geocode [Soldier, Winslow Township, PA 15851, USA]>","{'northeast': [41.070975, -78.82791329999999], 'southwest': [41.0541489, -78.85992809999999]}","[41.0625625, -78.8439207]"
336,MOUNT MORRIS IL,"MOUNT MORRIS, IL","<[OK] Google - Geocode [Mt Morris, IL 61054, USA]>","{'northeast': [42.059312, -89.412013], 'southwest': [42.039319, -89.446249]}","[42.0503062, -89.43122009999999]"
337,BRYON-TX,"BRYON, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","{'northeast': [30.730455, -96.245722], 'southwest': [30.590893, -96.46075900000001]}","[30.6743643, -96.3699632]"
338,WHITNE PA,WHITNE PA,"<[OK] Google - Geocode [Whitney, PA 15650, USA]>","{'northeast': [40.2595429, -79.40122459999999], 'southwest': [40.2432692, -79.42062299999999]}","[40.2544426, -79.4100838]"
339,CHARLESTOWN,CHARLESTOWN,"<[OK] Google - Geocode [Charlestown, Boston, MA, USA]>","{'northeast': [42.3897705, -71.04429809999999], 'southwest': [42.3688756, -71.0734062]}","[42.3782065, -71.0602131]"
340,CONNECTICUT,CONNECTICUT,"<[OK] Google - Geocode [Connecticut, USA]>","{'northeast': [42.050587, -71.787239], 'southwest': [40.950943, -73.727775]}","[41.6032207, -73.087749]"
341,ARON-N,ARON-N,<[ZERO_RESULTS] Google - Geocode [empty]>,,
342,CHARLESON PA,"CHARLESON, PA","<[OK] Google - Geocode [Charleston Township, PA, USA]>","{'northeast': [41.8260431, -77.1768148], 'southwest': [41.68137, -77.28136909999999]}","[41.7376007, -77.2175223]"
343,NEW-YORTK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
344,SUSPENSION NY,"SUSPENSION, NY",<[OK] Google - Geocode #2 results>,"{'northeast': [40.8203886802915, -73.8830992197085], 'southwest': [40.8176907197085, -73.8857971802915]}","[40.8190397, -73.8844482]"
345,HARDFORT CT,"HARDFORT, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","{'northeast': [41.807575, -72.6425359], 'southwest': [41.7237999, -72.717638]}","[41.7658043, -72.6733723]"
346,PATERSON NJ,"PATERSON, NJ","<[OK] Google - Geocode [Paterson, NJ, USA]>","{'northeast': [40.94159, -74.129233], 'southwest': [40.8886819, -74.2061969]}","[40.9167654, -74.17181099999999]"
347,MURPHYSBORO ILL.,"MURPHYSBORO, IL","<[OK] Google - Geocode [Murphysboro, IL 62966, USA]>","{'northeast': [37.7893119, -89.280197], 'southwest': [37.748164, -89.36150889999999]}","[37.7644952, -89.3350888]"
348,NORRISTON,NORRISTON,"<[OK] Google - Geocode [Norriston Dr, Clay Township, IN 46280, USA]>","{'northeast': [39.9366046802915, -86.1268238], 'southwest': [39.9339067197085, -86.1316064]}","[39.9351754, -86.12874]"
349,NESQUEHONING PA,"NESQUEHONING, PA","<[OK] Google - Geocode [Nesquehoning, PA, USA]>","{'northeast': [40.9029839, -75.739144], 'southwest': [40.8323198, -75.927375]}","[40.864534, -75.81102770000001]"
350,TRINIDAD CA.,"TRINIDAD, CA","<[OK] Google - Geocode [Trinidad, CA 95570, USA]>","{'northeast': [41.06736, -124.133001], 'southwest': [41.050941, -124.153487]}","[41.05929099999999, -124.1431246]"
351,PUEBLO COL.,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","{'northeast': [38.345385, -104.460868], 'southwest': [38.1891058, -104.7208689]}","[38.2544472, -104.6091409]"
352,YONIGSTOWN OH,"YONIGSTOWN, OH","<[OK] Google - Geocode [Youngstown, OH, USA]>","{'northeast': [41.1390129, -80.567932], 'southwest': [41.04995110000001, -80.711162]}","[41.0997803, -80.6495194]"
353,BROKLYN,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","{'northeast': [40.739446, -73.8333651], 'southwest': [40.551042, -74.05663]}","[40.6781784, -73.9441579]"
354,"VILLERSVILLE,IL","VILLERSVILLE, IL","<[OK] Google - Geocode [Millersville, IL 62557, USA]>","{'northeast': [39.4597699, -89.1421329], 'southwest': [39.4425382, -89.17414769999999]}","[39.4511546, -89.1581403]"
355,CALIFORNIA CA,CALIFORNIA,"<[OK] Google - Geocode [California, USA]>","{'northeast': [42.0095169, -114.131211], 'southwest': [32.528832, -124.482003]}","[36.778261, -119.4179324]"
356,SHARON-PA,"SHARON, PA","<[OK] Google - Geocode [Sharon, PA, USA]>","{'northeast': [41.2557549, -80.475291], 'southwest': [41.2141559, -80.5191201]}","[41.2331116, -80.4934035]"
357,ST LOUIS,"ST LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
358,ELISABETH,ELISABETH,<[ZERO_RESULTS] Google - Geocode [empty]>,,
359,MOUNT VERNON NY,"MOUNT VERNON, NY","<[OK] Google - Geocode [Mt Vernon, NY, USA]>","{'northeast': [40.9349548, -73.8050229], 'southwest': [40.88975, -73.853528]}","[40.9125992, -73.8370786]"
360,CANADA,CANADA,<[OK] Google - Geocode [Canada]>,"{'northeast': [70.0, -50.0], 'southwest': [42.0, -142.0]}","[56.130366, -106.346771]"
361,MA,MA,"<[OK] Google - Geocode [Massachusetts, USA]>","{'northeast': [42.88679, -69.85886099999999], 'southwest': [41.18705300000001, -73.5081419]}","[42.4072107, -71.3824374]"
362,NIAGARA-FALLS,NIAGARA FALLS,"<[OK] Google - Geocode [Niagara Falls, NY, USA]>","{'northeast': [43.132055, -78.9421621], 'southwest': [43.066956, -79.075321]}","[43.0962143, -79.0377388]"
363,CONDERSPORT PA,"CONDERSPORT, PA","<[OK] Google - Geocode [Coudersport, PA 16915, USA]>","{'northeast': [41.7918769, -77.9807], 'southwest': [41.761212, -78.0447619]}","[41.7747878, -78.02056019999999]"
364,OSWEGO-NY,"OSWEGO, NY","<[OK] Google - Geocode [Oswego, NY, USA]>","{'northeast': [43.49272209999999, -76.4693199], 'southwest': [43.4280909, -76.539377]}","[43.4553461, -76.5104973]"
365,NEW YORK-DIED,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
366,LAWRENCE MA,"LAWRENCE, MA","<[OK] Google - Geocode [Lawrence, MA, USA]>","{'northeast': [42.7232969, -71.133584], 'southwest': [42.67586499999999, -71.190997]}","[42.7070354, -71.1631137]"
367,SAINT LOUIS MI,"SAINT LOUIS, MI","<[OK] Google - Geocode [St. Louis, MI, USA]>","{'northeast': [43.42457599999999, -84.577446], 'southwest': [43.39307489999999, -84.6419191]}","[43.4083637, -84.6066704]"
368,MARIAN IL,"MARIAN, IL","<[OK] Google - Geocode [Marion, IL, USA]>","{'northeast': [37.7679551, -88.8090479], 'southwest': [37.5763339, -89.021829]}","[37.7306054, -88.9331256]"
369,PORTLAND ME,"PORTLAND, ME","<[OK] Google - Geocode [Portland, ME, USA]>","{'northeast': [43.727658, -70.0769348], 'southwest': [43.6063629, -70.3460949]}","[43.6590993, -70.2568189]"
370,LOUISVILLE K,"LOUISVILLE, KY","<[OK] Google - Geocode [Louisville, KY, USA]>","{'northeast': [38.38051, -85.40509999999999], 'southwest': [37.9971, -85.948441]}","[38.2526647, -85.7584557]"
371,MOUNT-VERNON,MOUNT VERNON,"<[OK] Google - Geocode [3200 Mount Vernon Hwy, Mt Vernon, VA 22121, USA]>","{'northeast': [38.7093309802915, -77.0848263197085], 'southwest': [38.70663301970851, -77.0875242802915]}","[38.707982, -77.0861753]"
372,MADISON,MADISON,"<[OK] Google - Geocode [Madison, WI, USA]>","{'northeast': [43.171916, -89.24645199999999], 'southwest': [42.998071, -89.56638889999999]}","[43.0730517, -89.4012302]"
373,HAMONTON,HAMONTON,"<[OK] Google - Geocode [Hammonton, NJ, USA]>","{'northeast': [39.7299091, -74.67578689999999], 'southwest': [39.5835199, -74.859134]}","[39.6365056, -74.8023853]"
374,NEW ORNEANS LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","{'northeast': [30.199332, -89.625053], 'southwest': [29.8666609, -90.14007389999999]}","[29.95106579999999, -90.0715323]"
375,NORRISTOWN-PA,"NORRISTOWN, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","{'northeast': [40.1413069, -75.3163249], 'southwest': [40.1052509, -75.3648281]}","[40.121497, -75.3399048]"
376,CO,CO,"<[OK] Google - Geocode [3804 W 8th St, Coffeyville, KS 67337, USA]>","{'northeast': [37.0379895802915, -95.67006311970849], 'southwest': [37.0352916197085, -95.67276108029151]}","[37.0366406, -95.6714121]"
377,WILLIAMSBURG-PA,"WILLIAMSBURG, PA","<[OK] Google - Geocode [Williamsburg, PA 16693, USA]>","{'northeast': [40.470737, -78.1955459], 'southwest': [40.457114, -78.2144249]}","[40.4620172, -78.19973200000001]"
378,NEW-ORLEANS-PA,"NEW ORLEANS, PA","<[OK] Google - Geocode [943 South Ave, Secane, PA 19018, USA]>","{'northeast': [39.9126433802915, -75.30816311970851], 'southwest': [39.9099454197085, -75.31086108029152]}","[39.9112944, -75.3095121]"
379,LYNN-MA,"LYNN, MA","<[OK] Google - Geocode [Lynn, MA, USA]>","{'northeast': [42.5123831, -70.901493], 'southwest': [42.438297, -71.0114689]}","[42.46676300000001, -70.9494938]"
380,PORT ALLEGANY PA.,"PORT ALLEGANY, PA","<[OK] Google - Geocode [Port Allegany, PA 16743, USA]>","{'northeast': [41.82780289999999, -78.25818], 'southwest': [41.8019439, -78.294787]}","[41.81089799999999, -78.27973519999999]"
381,NIAGARA FALLS,NIAGARA FALLS,"<[OK] Google - Geocode [Niagara Falls, NY, USA]>","{'northeast': [43.132055, -78.9421621], 'southwest': [43.066956, -79.075321]}","[43.0962143, -79.0377388]"
382,TROIA NY,"TROIA, NY","<[OK] Google - Geocode [59 Maiden Ln floor 41, New York, NY 10038, USA]>","{'northeast': [40.71010588029149, -74.00654861970848], 'southwest': [40.7074079197085, -74.0092465802915]}","[40.7087569, -74.00789759999999]"
383,KANSAS CITY MO,"KANSAS CITY, MO","<[OK] Google - Geocode [Kansas City, MO, USA]>","{'northeast': [39.356662, -94.385522], 'southwest': [38.827176, -94.765917]}","[39.0997265, -94.5785667]"
384,MURPHYSBORO,MURPHYSBORO,"<[OK] Google - Geocode [Murphysboro, IL 62966, USA]>","{'northeast': [37.7893119, -89.280197], 'southwest': [37.748164, -89.36150889999999]}","[37.7644952, -89.3350888]"
385,HAZLETON,HAZLETON,"<[OK] Google - Geocode [Hazleton, PA, USA]>","{'northeast': [40.9749319, -75.9459451], 'southwest': [40.9276849, -75.99634800000001]}","[40.9584181, -75.97464719999999]"
386,CA,CA,"<[OK] Google - Geocode [California, USA]>","{'northeast': [42.0095169, -114.131211], 'southwest': [32.528832, -124.482003]}","[36.778261, -119.4179324]"
387,S.FRANCISCO-CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
388,SANFRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
389,W CLEVELAND PA,"W CLEVELAND, PA","<[OK] Google - Geocode [Cleveland Township, PA, USA]>","{'northeast': [40.9150469, -76.4117079], 'southwest': [40.8238969, -76.509762]}","[40.8713091, -76.4678766]"
390,NE YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
391,MILWAUKEE WI,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","{'northeast': [43.1949671, -87.8639841], 'southwest': [42.9208158, -88.070876]}","[43.0389025, -87.9064736]"
392,GERASCO,GERASCO,"<[OK] Google - Geocode [69-71 Avenue de Suffren, 75007 Paris, France]>","{'northeast': [48.85325368029149, 2.301489880291502], 'southwest': [48.8505557197085, 2.298791919708498]}","[48.8519047, 2.3001409]"
393,WINNIPEG CAN,"WINNIPEG, CAN","<[OK] Google - Geocode [Winnipeg, MB, Canada]>","{'northeast': [49.9938741, -96.9552281], 'southwest': [49.71377, -97.349222]}","[49.895136, -97.13837439999999]"
394,BEAUMONT TX,"BEAUMONT, TX","<[OK] Google - Geocode [Beaumont, TX, USA]>","{'northeast': [30.189106, -94.0305801], 'southwest': [29.973175, -94.225236]}","[30.080174, -94.1265562]"
395,CAMDEN,"CAMDEN, NJ","<[OK] Google - Geocode [Camden, NJ, USA]>","{'northeast': [39.9694779, -75.06654610000001], 'southwest': [39.8986639, -75.13626789999999]}","[39.9259463, -75.1196199]"
396,MC-KEESPORT PA,MC-KEESPORT PA,"<[OK] Google - Geocode [McKeesport, PA, USA]>","{'northeast': [40.36418099999999, -79.81596809999999], 'southwest': [40.3179689, -79.885871]}","[40.3470671, -79.8641232]"
397,MONT MORIS NY,"MONT MORIS, NY","<[OK] Google - Geocode [Mt Morris, NY 14510, USA]>","{'northeast': [42.742191, -77.8584431], 'southwest': [42.707735, -77.89249]}","[42.72561839999999, -77.8741694]"
398,PRINCE TOWN PA,"PRINCE TOWN, PA","<[OK] Google - Geocode [Princeton, Slippery Rock Township, PA 16101, USA]>","{'northeast': [40.9723761, -80.215443], 'southwest': [40.9555248, -80.24745779999999]}","[40.963951, -80.2314504]"
399,BENRID COL,BENRID COL,<[ZERO_RESULTS] Google - Geocode [empty]>,,
400,DETROIT-MI,"DETROIT, MI","<[OK] Google - Geocode [Detroit, MI, USA]>","{'northeast': [42.45023, -82.910451], 'southwest': [42.255192, -83.287959]}","[42.331427, -83.0457538]"
401,MONTREAL,MONTREAL,"<[OK] Google - Geocode [Montreal, QC, Canada]>","{'northeast': [45.7058381, -73.47426], 'southwest': [45.410246, -73.986345]}","[45.5016889, -73.567256]"
402,JOHUSTOWN,JOHUSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","{'northeast': [40.36421199999999, -78.8820461], 'southwest': [40.2896741, -78.955348]}","[40.32674069999999, -78.9219698]"
403,PATTERSON NJ.,"PATTERSON, NJ","<[OK] Google - Geocode [Paterson, NJ, USA]>","{'northeast': [40.94159, -74.129233], 'southwest': [40.8886819, -74.2061969]}","[40.9167654, -74.17181099999999]"
404,MASSANSON PA,"MASSANSON, PA","<[OK] Google - Geocode [Pennsylvania, USA]>","{'northeast': [42.5141658, -74.6895018], 'southwest': [39.7197989, -80.51989499999999]}","[41.2033216, -77.1945247]"
405,ROME-NY,"ROME, NY","<[OK] Google - Geocode [Rome, NY, USA]>","{'northeast': [43.2815231, -75.34091409999999], 'southwest': [43.168892, -75.667017]}","[43.2128473, -75.4557303]"
406,COLORADO CO,COLORADO,"<[OK] Google - Geocode [Colorado, USA]>","{'northeast': [41.0034439, -102.040878], 'southwest': [36.992424, -109.060256]}","[39.5500507, -105.7820674]"
407,JOHUNGSTON,JOHUNGSTON,<[ZERO_RESULTS] Google - Geocode [empty]>,,
408,SAINT LOUIS,"SAINT LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
409,PHILADEPHIA PA,"PHILADEPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","{'northeast': [40.1379919, -74.9557629], 'southwest': [39.8670041, -75.2802937]}","[39.9525839, -75.1652215]"
410,WATERBURY,WATERBURY,"<[OK] Google - Geocode [Waterbury, CT, USA]>","{'northeast': [41.6151969, -72.956948], 'southwest': [41.514296, -73.0938529]}","[41.5581525, -73.0514965]"
411,MIDDLETOWN CT,"MIDDLETOWN, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","{'northeast': [41.6043499, -72.55094489999999], 'southwest': [41.495045, -72.7546402]}","[41.5623209, -72.6506488]"
412,MONROE P,MONROE P,"<[OK] Google - Geocode [718 N Macomb St, Monroe, MI 48162, USA]>","{'northeast': [41.92651758029151, -83.3875089197085], 'southwest': [41.92381961970851, -83.3902068802915]}","[41.92516860000001, -83.38885789999999]"
413,PORTLAND OR,"PORTLAND, OR","<[OK] Google - Geocode [Portland, OR, USA]>","{'northeast': [45.6528856, -122.4719641], 'southwest': [45.43254049999999, -122.8366901]}","[45.5051064, -122.6750261]"
414,S. FELE,S. FELE,"<[OK] Google - Geocode [85020 San Fele, Province of Potenza, Italy]>","{'northeast': [40.8222375, 15.553654], 'southwest': [40.8114327, 15.5363703]}","[40.8192715, 15.5401935]"
415,AVON-NY,"AVON, NY","<[OK] Google - Geocode [Avon, NY 14414, USA]>","{'northeast': [42.932682, -77.725596], 'southwest': [42.897478, -77.773011]}","[42.91200720000001, -77.7455583]"
416,NEW,NEW,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
417,BREYON-TX,"BREYON, TX","<[OK] Google - Geocode [Texas, USA]>","{'northeast': [36.5007041, -93.5080389], 'southwest': [25.8371638, -106.6456461]}","[31.9685988, -99.9018131]"
418,BERVIND-CO,"BERVIND, CO",<[ZERO_RESULTS] Google - Geocode [empty]>,,
419,LACKAWANNA PA,"LACKAWANNA, PA","<[OK] Google - Geocode [Lackawanna County, PA, USA]>","{'northeast': [41.642511, -75.440389], 'southwest': [41.161252, -75.83469509999999]}","[41.4421199, -75.5742467]"
420,IL,IL,"<[OK] Google - Geocode [Illinois, USA]>","{'northeast': [42.5083379, -87.01993499999999], 'southwest': [36.970298, -91.5130789]}","[40.6331249, -89.3985283]"
421,NEW-YORKL,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
422,TRINIDAD COL,TRINIDAD COL,"<[OK] Google - Geocode [Trinidad, CO 81082, USA]>","{'northeast': [37.2253289, -104.4349379], 'southwest': [37.134384, -104.531994]}","[37.1694632, -104.5005407]"
423,NEW HAVEN CT,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","{'northeast': [41.35038, -72.8601438], 'southwest': [41.2461968, -72.998048]}","[41.308274, -72.9278835]"
424,FRESNO CA,"FRESNO, CA","<[OK] Google - Geocode [Fresno, CA, USA]>","{'northeast': [36.908905, -119.6546399], 'southwest': [36.66216190000001, -119.934483]}","[36.7377981, -119.7871247]"
425,NE WYORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
426,CLINTON VT.,"CLINTON, VT","<[OK] Google - Geocode [PO Box 909, Burlington, VT 05402, USA]>","{'northeast': [44.48134888029149, -73.2086509197085], 'southwest': [44.4786509197085, -73.21134888029151]}","[44.4799999, -73.2099999]"
427,PINX--,PINX--,<[ZERO_RESULTS] Google - Geocode [empty]>,,
428,BROCOLY,BROCOLY,<[ZERO_RESULTS] Google - Geocode [empty]>,,
429,RALSTON,RALSTON,<[OK] Google - Geocode #4 results>,"{'northeast': [41.21252, -96.0236849], 'southwest': [41.1906419, -96.0524279]}","[41.2002566, -96.031987]"
430,HARRISBURG,HARRISBURG,"<[OK] Google - Geocode [Harrisburg, PA, USA]>","{'northeast': [40.326688, -76.836394], 'southwest': [40.237601, -76.92445699999999]}","[40.2731911, -76.8867008]"
431,QUINCY-IL,"QUINCY, IL","<[OK] Google - Geocode [Quincy, IL, USA]>","{'northeast': [39.972967, -91.31581], 'southwest': [39.897016, -91.428442]}","[39.9356016, -91.4098726]"
432,CHARLESTON-PA,"CHARLESTON, PA","<[OK] Google - Geocode [Charleston Township, PA, USA]>","{'northeast': [41.8260431, -77.1768148], 'southwest': [41.68137, -77.28136909999999]}","[41.7376007, -77.2175223]"
433,MILWAUKEE WI.,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","{'northeast': [43.1949671, -87.8639841], 'southwest': [42.9208158, -88.070876]}","[43.0389025, -87.9064736]"
434,"PITTSBURG, PA","PITTSBURG, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","{'northeast': [40.501368, -79.8657231], 'southwest': [40.3613689, -80.0952779]}","[40.44062479999999, -79.9958864]"
435,COLUMBIA-TX,"COLUMBIA, TX","<[OK] Google - Geocode [West Columbia, TX 77486, USA]>","{'northeast': [29.1602731, -95.6344599], 'southwest': [29.119471, -95.66806799999999]}","[29.1438582, -95.6452249]"
436,PLAQUENI,PLAQUENI,<[ZERO_RESULTS] Google - Geocode [empty]>,,
437,MONONGAHELA,MONONGAHELA,<[OK] Google - Geocode #2 results>,"{'northeast': [40.4460532, -79.8296743], 'southwest': [39.4597797, -80.1651854]}","[39.9504343, -79.9949266]"
438,MONROEVILLE,MONROEVILLE,"<[OK] Google - Geocode [Monroeville, PA, USA]>","{'northeast': [40.461968, -79.70376689999999], 'southwest': [40.3865453, -79.81957]}","[40.4211798, -79.7881024]"
439,REC-PORT,REC-PORT,"<[OK] Google - Geocode [739 W Ave A, Port Aransas, TX 78373, USA]>","{'northeast': [27.8375989802915, -97.06726891970848], 'southwest': [27.8349010197085, -97.06996688029149]}","[27.83625, -97.06861789999999]"
440,BUFFALO MD,"BUFFALO, MD","<[OK] Google - Geocode [1001 High St, Buffalo, NY 14203, USA]>","{'northeast': [42.9022149802915, -78.86467321970851], 'southwest': [42.8995170197085, -78.86737118029151]}","[42.900866, -78.8660222]"
441,TAMPA,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","{'northeast': [28.1714781, -82.2597409], 'southwest': [27.817487, -82.64882]}","[27.950575, -82.4571776]"
442,MALAGA N.M.,"MALAGA, NM","<[OK] Google - Geocode [Malaga, NM, USA]>","{'northeast': [32.236534, -104.0490801], 'southwest': [32.207834, -104.091462]}","[32.2246101, -104.0715779]"
443,MICHIGAN,MICHIGAN,"<[OK] Google - Geocode [Michigan, USA]>","{'northeast': [48.3060628, -82.1229709], 'southwest': [41.696118, -90.4181358]}","[44.3148443, -85.60236429999999]"
444,S LOUIS MI,S LOUIS MI,"<[OK] Google - Geocode [St. Louis, MI, USA]>","{'northeast': [43.42457599999999, -84.577446], 'southwest': [43.39307489999999, -84.6419191]}","[43.4083637, -84.6066704]"
