Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
80547,VINCENZO FLORIO,PALERMO,06/30/1884
81899,BIRMANIA,NAPLES & PALERMO,06/29/1891
81049,ITALIA,"GIBRALTAR, NAPLES & PALERMO",06/29/1887
80062,SOLANTO,PALERMO,06/28/1880
46414,JOHN R SKIDDY,UNKNOWN,06/26/1847
800979,CITY OF NASSAU,UNKNOWN,06/25/1886
81375,INIZIATIVA,PALERMO,06/22/1889
6533,MONTEZUMA,UNKNOWN,06/22/1850
46245,ERIE,UNKNOWN,06/22/1847
81045,INIZIATIVA,PALERMO,06/21/1887
800768,H.L. JAMES,UNKNOWN,06/20/1884
83308,WERRA,"MESSINA, NAPLES & PALERMO",06/18/1895
80380,WASHINGTON,PALERMO,06/18/1883
81041,GOTTARDO,PALERMO,06/17/1887
800411,MURIEL,UNKNOWN,06/16/1882
81040,PLATA,PALERMO,06/15/1887
800075,BRANTFORD CITY,UNKNOWN,06/14/1880
80537,WASHINGTON,NAPLES & PALERMO,06/12/1884
21008,PHILADELPHIA,"MESSINA, NAPLES, PALERMO & TRIESTE",06/12/1851
81888,ALDBOROUGH,PALERMO,06/11/1891
80844,INDIPENDENTE,NAPLES & PALERMO,06/11/1886
251,BURGUNDIA,NAPLES & PALERMO,06/11/1883
2165,FRANKLIN,UNKNOWN,06/11/1847
81206,INIZIATIVA,PALERMO,06/09/1888
82127,NAPIER,PALERMO,06/07/1892
42301,STATE OF NEBRASKA,UNKNOWN,06/06/1892
81362,ENTELLA,PALERMO,06/05/1889
20,ALSATIA,"GIBRALTAR, NAPLES & PALERMO",06/03/1891
81878,REX,PALERMO,06/03/1891
900439,SAMUEL BADGER,UNKNOWN,06/03/1853
2059,MARY H. KENDALL,UNKNOWN,06/01/1847
900431,UNION,UNKNOWN,05/31/1853
901579,GLASGOW,UNKNOWN,05/30/1860
13547,ELLEN R. MARGARET,UNKNOWN,05/30/1850
4599,MARTHA KINSMAN,UNKNOWN,05/29/1850
23226,AGITATOR,UNKNOWN,05/29/1849
901578,ALBERT GALLATIN,UNKNOWN,05/28/1860
2448,HIBERNIA,UNKNOWN,05/27/1847
13025,MARGARETVILLE,UNKNOWN,05/27/1846
13211,DAVID GRANT,UNKNOWN,05/26/1848
80831,PLATA,PALERMO,05/24/1886
31556,SPEEDY,PALERMO,05/24/1870
13106,HELEN MARIA,UNKNOWN,05/24/1847
81352,LETIMBRO,PALERMO,05/23/1889
800865,ALBATROS,UNKNOWN,05/23/1885
12108,CITY OF BALTIMORE,UNKNOWN,05/23/1870
800864,ADA G. SHORTLAND,UNKNOWN,05/19/1885
81862,INDIA,NAPLES & PALERMO,05/18/1891
23066,SARANAK,UNKNOWN,05/18/1847
81348,UTOPIA,"GIBRALTAR, NAPLES & PALERMO",05/17/1889
13529,GARLAND,UNKNOWN,05/17/1850
83297,WERRA,"MESSINA, NAPLES & PALERMO",05/16/1895
81190,ALEXANDRIA,NAPLES & PALERMO,05/16/1888
80667,INDIPENDENTE,NAPLES & PALERMO,05/16/1885
80519,ARCHIMEDE,"GIBRALTAR, NAPLES & PALERMO",05/16/1884
12107,SAMARIA,UNKNOWN,05/16/1870
81186,CALEDONIA,"MEDITERRANEAN PORTS, TRIESTE & PALERMO",05/14/1888
622,ALSATIA,"BARI, FIUME, NAPLES, PALERMO & TRIESTE",05/13/1892
800860,DORSET,UNKNOWN,05/13/1885
800612,FRIJA,UNKNOWN,05/12/1883
82333,BELGRAVIA,"NAPLES, PALERMO & TRIESTE",05/10/1893
81851,AUSTRALIA,NAPLES & PALERMO,05/09/1891
8412,TRUMBULL,UNKNOWN,05/08/1855
58112,ENTELLA,PALERMO,05/07/1890
800606,CLAUDIUS,UNKNOWN,05/07/1883
81849,CASTLE HILL,PALERMO,05/06/1891
81844,ELYSIA,"FIUME, NAPLES & PALERMO",05/05/1891
3652,HINDOUSTAN,UNKNOWN,05/05/1849
2228,ATALANTA,UNKNOWN,05/05/1847
58168,ARCHIMEDE,PALERMO,05/03/1883
58071,VINCENZO FLORIO,PALERMO,05/03/1882
80657,GOTTARDO,PALERMO,05/01/1885
81011,STURA,PALERMO,04/30/1887
80037,MARSALA,GIBRALTAR & PALERMO,04/30/1880
2496,DRYADEN,UNKNOWN,04/29/1847
800740,CARDENAS,UNKNOWN,04/28/1884
80812,INDIA,"NAPLES, PALERMO & TRIESTE",04/27/1886
80653,ITALIA,PALERMO,04/27/1885
39147,CITY OF ALEXANDRIA,GIBRALTAR & PALERMO,04/25/1887
58134,ALEXANDRIA,GIBRALTAR & PALERMO,04/25/1887
82317,INIZIATIVA,PALERMO,04/24/1893
12176,TRIPOLI,UNKNOWN,04/24/1872
12106,ETNA,UNKNOWN,04/23/1870
6875,HERCULES,UNKNOWN,04/23/1852
58162,VINCENZO FLORIO,PALERMO,04/19/1883
800043,C.C. VAN HORN,UNKNOWN,04/19/1880
82085,COVENTIA,PALERMO,04/18/1892
81334,ALSATIA,NAPLES & PALERMO,04/18/1889
45,GIAVA,NAPLES & PALERMO,04/16/1891
12441,CARTHAGINIAN,UNKNOWN,04/15/1889
81333,INIZIATIVA,PALERMO,04/15/1889
448,WASHINGTON,PALERMO,04/15/1882
2425,CUSHLAMACHREE,UNKNOWN,04/15/1847
80806,INDIPENDENTE,NAPLES & PALERMO,04/14/1886
18937,CREOLE,UNKNOWN,04/14/1840
81827,ANGLIA,"GIBRALTAR, NAPLES & PALERMO",04/13/1891
800587,MURIEL,UNKNOWN,04/13/1883
83284,WERRA,"MESSINA, NAPLES & PALERMO",04/12/1895
81000,GOTTARDO,PALERMO,04/12/1887
81547,STURA,PALERMO,04/11/1890
19119,VESTA,"GENOA, NAPLES & PALERMO",04/11/1845
15914,OHIO,"MESSINA, NAPLES, PALERMO & TRIESTE",04/10/1882
12105,PALMYRA,UNKNOWN,04/10/1870
81544,UTOPIA,NAPLES & PALERMO,04/09/1890
80344,ITALIA,PALERMO,04/09/1883
611,VICTORIA,NAPLES & PALERMO,04/08/1892
80997,MARCO MINGHETTI,PALERMO,04/08/1887
80132,VINCENZO FLORIO,PALERMO,04/08/1881
800366,AILSA,UNKNOWN,04/07/1882
83280,HAZELDENE,PALERMO,04/06/1895
82892,ALSATIA,NAPLES & PALERMO,04/05/1897
81325,AUSTRALIA,GIBRALTAR & PALERMO,04/04/1889
80497,GOTTARDO,PALERMO,04/04/1884
19013,TAGLIONI,UNKNOWN,04/04/1843
80643,ARCHIMEDE,PALERMO,04/03/1885
80022,CASTOR,PALERMO,04/03/1880
81538,GIAVA,PALERMO,03/29/1890
82072,BOLIVIA,"FIUME, GIBRALTAR, NAPLES & PALERMO",03/28/1892
81532,VENEZUELA,UNKNOWN,03/28/1890
81165,INIZIATIVA,NAPLES & PALERMO,03/28/1888
81807,CALEDONIA,NAPLES & PALERMO,03/25/1891
81318,PLATA,PALERMO,03/25/1889
16177,KRONPRINZ FR.WILHELM,UNKNOWN,03/25/1888
80803,INIZIATIVA,PALERMO,03/25/1886
80490,INDIPENDENTE,PALERMO,03/24/1884
64,ENTELLA,PALERMO,03/22/1889
11030,ENTELLA,PALERMO,03/22/1889
2681,SIDDONS,UNKNOWN,03/22/1848
81316,BOLIVIA,PALERMO,03/18/1889
81801,STURA,NAPLES & PALERMO,03/17/1891
82059,CALIFORNIA,NAPLES & PALERMO,03/14/1892
80980,ENTELLA,PALERMO,03/09/1887
80628,INDIPENDENTE,NAPLES & PALERMO,03/09/1885
58201,ARCHIMEDE,PALERMO,03/08/1882
81312,ARCHIMEDES,PALERMO,03/08/1882
82055,ENTELLA,PALERMO,03/07/1892
18558,BADEN,UNKNOWN,03/05/1860
81524,LETIMBRO,PALERMO,03/03/1890
82503,BERLIN,UNKNOWN,02/27/1894
82049,STURA,GIBRALTAR & PALERMO,02/26/1892
800836,SUNLIGHT,UNKNOWN,02/26/1885
800558,EDITH GODDIN,UNKNOWN,02/26/1883
80479,VINCENZO FLORIO,PALERMO,02/25/1884
81509,BOLIVIA,NAPLES & PALERMO,02/24/1890
42,ENTELLA,PALERMO,02/23/1891
82040,ALSATIA,"MESSINA, NAPLES & PALERMO",02/19/1892
81506,ENTELLA,PALERMO,02/19/1890
44,FERDINAND DE LESSEPS,"CADIZ, MALAGA,  MARSEILLES, NAPLES & PALERMO",02/15/1882
80784,BURGUNDIA,UNKNOWN,02/12/1886
81770,SCOTIA,NAPLES & PALERMO,02/10/1891
800541,STANMARE,UNKNOWN,02/09/1883
2267,IRENE MORRIS,PALERMO,02/09/1880
80786,INDIPENDENTE,NAPLES & PALERMO,02/08/1886
80476,ALSATIA,"NAPLES, PALERMO & VALENCIA",02/08/1884
11035,VINCENZO FLORIO,PALERMO,02/03/1883
83150,BOLIVIA,PALERMO,01/30/1899
18999,LEONTINE,UNKNOWN,01/30/1843
81292,CALIFORNIA,PALERMO,01/28/1889
80965,STURA,PALERMO,01/28/1887
82016,LETIMBRO,PALERMO,01/25/1892
80472,GOTTARDO,PALERMO,01/25/1884
83266,HABANA,"BARI, FIUME, NAPLES, PALERMO & TRIESTE",01/24/1895
83019,VICTORIA,PALERMO,01/23/1898
81291,INIZIATIVA,PALERMO,01/22/1889
81755,BIRMANIA,GIBRALTAR & PALERMO,01/21/1891
80774,LETIMBRO,PALERMO,01/19/1886
80611,VINOCO,UNKNOWN,01/19/1885
18917,ROBERT PULSFORD,UNKNOWN,01/18/1840
80166,ELYSIA,NAPLES & PALERMO,01/13/1882
82009,ANGLIA,NAPLES & PALERMO,01/12/1892
40075,AMETHYST,UNKNOWN,01/12/1888
800693,DORSET,UNKNOWN,01/12/1884
80468,INDIPENDENTE,PALERMO,01/12/1884
