Commune,Province,Population
Racalmuto,Agrigento,"8,345"
Raccuja,Messina,"1,139"
Raddusa,Catania,"3,280"
Raffadali,Agrigento,"12,837"
Ragalna,Catania,"3,676"
Ragusa,Ragusa,"69,794"
Ramacca,Catania,"10,775"
Randazzo,Catania,"11,108"
Ravanusa,Agrigento,"12,128"
Realmonte,Agrigento,"4,487"
Regalbuto,Enna,"7,388"
Reitano,Messina,829
Resuttano,Caltanissetta,"2,139"
Ribera,Agrigento,"19,302"
Riesi,Caltanissetta,"11,814"
Riposto,Catania,"14,181"
Roccafiorita,Messina,228
Roccalumera,Messina,"4,105"
Roccamena,Palermo,"1,562"
Roccapalumba,Palermo,"2,634"
Roccavaldina,Messina,"1,149"
Roccella Valdemone,Messina,711
Rodì Milici,Messina,"2,130"
Rometta,Messina,"6,541"
Rosolini,Siracusa,"21,526"
Salaparuta,Trapani,"1,721"
Salemi,Trapani,"10,871"
Sambuca di Sicilia,Agrigento,"6,114"
San Biagio Platani,Agrigento,"3,501"
San Cataldo,Caltanissetta,"23,424"
San Cipirello,Palermo,"5,478"
San Cono,Catania,"2,790"
San Filippo del Mela,Messina,"7,065"
San Fratello,Messina,"3,942"
San Giovanni Gemini,Agrigento,"8,127"
San Giovanni la Punta,Catania,"22,049"
San Giuseppe Jato,Palermo,"8,511"
San Gregorio di Catania,Catania,"11,497"
San Marco d'Alunzio,Messina,"2,083"
San Mauro Castelverde,Palermo,"1,847"
San Michele di Ganzaria,Catania,"3,463"
San Pier Niceto,Messina,"2,911"
San Piero Patti,Messina,"3,082"
San Pietro Clarenza,Catania,"7,102"
San Salvatore di Fitalia,Messina,"1,378"
San Teodoro,Messina,"1,421"
San Vito Lo Capo,Trapani,"4,415"
Santa Caterina Villarmosa,Caltanissetta,"5,727"
Santa Cristina Gela,Palermo,925
Santa Croce Camerina,Ragusa,"9,452"
Santa Domenica Vittoria,Messina,"1,067"
Santa Elisabetta,Agrigento,"2,608"
Santa Flavia,Palermo,"10,751"
Santa Lucia del Mela,Messina,"4,744"
Santa Margherita di Belice,Agrigento,"6,544"
Santa Maria di Licodia,Catania,"7,322"
Santa Marina Salina,Messina,892
Santa Ninfa,Trapani,"5,095"
Santa Teresa di Riva,Messina,"9,240"
Santa Venerina,Catania,"8,351"
Sant'Agata di Militello,Messina,"12,803"
Sant'Agata li Battiati,Catania,"9,829"
Sant'Alessio Siculo,Messina,"1,497"
Sant'Alfio,Catania,"1,631"
Sant'Angelo di Brolo,Messina,"3,297"
Sant'Angelo Muxaro,Agrigento,"1,471"
Santo Stefano di Camastra,Messina,"4,674"
Santo Stefano Quisquina,Agrigento,"4,897"
Saponara,Messina,"4,078"
Savoca,Messina,"1,766"
